date,time,code,open,high,low,close,volume,amount,adjustflag
2024-09-20,20240920132000000,sh.600000,8.4700,8.4800,8.4600,8.4700,840600,7119320.0000,3
2024-09-20,20240920132500000,sh.600000,8.4700,8.4800,8.4600,8.4800,538200,4556536.0000,3
2024-09-20,20240920133000000,sh.600000,8.4800,8.4800,8.4700,8.4700,351800,2981816.0000,3
2024-09-20,20240920133500000,sh.600000,8.4700,8.4800,8.4600,8.4600,459700,3893160.0000,3
2024-09-20,20240920134000000,sh.600000,8.4600,8.4700,8.4500,8.4600,330000,2792240.0000,3
2024-09-20,20240920134500000,sh.600000,8.4500,8.4600,8.4400,8.4400,537800,4546016.0000,3
2024-09-20,20240920135000000,sh.600000,8.4400,8.4600,8.4300,8.4600,609000,5144048.0000,3
2024-09-20,20240920135500000,sh.600000,8.4500,8.4600,8.4400,8.4400,390800,3302624.0000,3
2024-09-20,20240920140000000,sh.600000,8.4500,8.4800,8.4400,8.4800,744800,6305824.0000,3
2024-09-20,20240920140500000,sh.600000,8.4800,8.5100,8.4700,8.5000,1150800,9768064.0000,3
2024-09-20,20240920141000000,sh.600000,8.5100,8.5100,8.4800,8.5000,1097200,9326144.0000,3
2024-09-20,20240920141500000,sh.600000,8.5000,8.5100,8.4800,8.5100,1070800,9099424.0000,3
2024-09-20,20240920142000000,sh.600000,8.5100,8.5200,8.4900,8.5100,1072100,9117312.0000,3
2024-09-20,20240920142500000,sh.600000,8.5100,8.5200,8.4800,8.5100,1142800,9722400.0000,3
2024-09-20,20240920143000000,sh.600000,8.5000,8.5300,8.5000,8.5200,1293200,11013136.0000,3
2024-09-20,20240920143500000,sh.600000,8.5200,8.5300,8.4900,8.5000,1325900,11280832.0000,3
2024-09-20,20240920144000000,sh.600000,8.5200,8.5300,8.5000,8.5100,2402500,20455712.0000,3
2024-09-20,20240920144500000,sh.600000,8.5000,8.5300,8.5000,8.5200,2327800,19823856.0000,3
2024-09-20,20240920145000000,sh.600000,8.5100,8.5300,8.5000,8.5100,1622500,13816352.0000,3
